URL da vaga;Nome da vaga;Nome da empresa;URL da empresa;Modelo de contrato;Nivel de experiencia;Número de candidatos;Local da sede;Data da postagem da vaga;Horario da realizaçao do Scraping
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-social-media-at-hubify-marketing-digital-para-gerar-prosperidade-3545030224?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=Ow8%2FQr9fBBqEZqtEy6VeMg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card;Estágio em Social Media;Hubify - Marketing Digital Para Gerar Prosperidade;https://br.linkedin.com/company/hubify-marketing-de-performance?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;Mais de 200 candidaturas;São Paulo, SP;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/pessoa-diretora-de-arte-pleno-afirmativa-para-mulheres-pretas-at-ogilvy-brasil-3507873986?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=PySdgYU9foMRa0KOwr%2FIpg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card;Pessoa Diretora de Arte Pleno - Afirmativa para Mulheres Pretas;Ogilvy Brasil;https://br.linkedin.com/company/ogilvybrasil?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;Mais de 200 candidaturas;São Paulo, SP;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/branding-analista-de-conte%C3%BAdo-at-beep-sa%C3%BAde-3520413128?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=pWYwLxRJ4xL4JaeZT5qdkQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card;[Branding] Analista de Conteúdo;Beep Saúde;https://br.linkedin.com/company/beepsaude?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;Mais de 200 candidaturas;Rio de Janeiro, RJ;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/assistente-de-marketing-e-publicidade-at-equipe-cine-3521828190?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=FvKLHFwQjBxGwAdVsRvDnA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card;Assistente de Marketing e Publicidade;Equipe Cine;https://br.linkedin.com/company/equipe-cine?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;59 candidaturas;São Paulo e Região;14/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/designer-jr-at-grupo-profarma-3434340350?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=19q%2FLfBWv7rLf0RcAdi4Lg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card;Designer JR;Grupo Profarma;https://br.linkedin.com/company/grupo-profarma?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Pleno-sênior;Mais de 200 candidaturas;Rio de Janeiro, RJ;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/assistente-de-publicidade-e-marketing-at-equipe-cine-3521822371?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=lsJctMGQYw6AP1TLAK3eFQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card;Assistente de Publicidade e Marketing;Equipe Cine;https://br.linkedin.com/company/equipe-cine?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;32 candidaturas;São Paulo e Região;14/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/analista-de-marketing-generalista-at-focsi-foco-em-sele%C3%A7%C3%A3o-de-intelig%C3%AAncias-3547439164?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=Uc5rq6e%2B6vvxB8RFcd0AZg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card;ANALISTA DE MARKETING GENERALISTA;Focsi Foco em Seleção de Inteligências;https://br.linkedin.com/company/focsifocoemselecao?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;32 candidaturas;Londrina, PR;14/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/organizador-de-conte%C3%BAdo-marketing-digital-e-novas-m%C3%ADdias-at-vitru-education-3539565171?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=4vf4SC720DSUCCgNbarP5w%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card;ORGANIZADOR DE CONTEÚDO - MARKETING DIGITAL E NOVAS MÍDIAS;Vitru Education;https://br.linkedin.com/company/vitrueducation?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;137 candidaturas;Florianópolis, SC;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/auxiliar-de-comunica%C3%A7%C3%A3o-at-centro-universit%C3%A1rio-s%C3%A3o-camilo-3490904630?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=Rbh5XVT3LLg1qDjAkpm7Xg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card;Auxiliar de Comunicação;Centro Universitário São Camilo;https://br.linkedin.com/company/centro-universit-rio-s-o-camilo?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;Mais de 200 candidaturas;São Paulo, SP;28/02/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/analista-de-marketing-sr-at-nova8-3547436325?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=kGeSyvWFCt6YLv5A0rHhYw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card;Analista de Marketing SR;NOVA8;https://br.linkedin.com/company/nova8?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;Mais de 200 candidaturas;Barueri, SP;28/02/2023;28/03/2023 20:21
